record_id,res_ClO2,raw_turb,fin_turb,NH3N,CODMn_raw,CODMn_fin,bacteria,flow,clearwell_ClO2,terminal_dose_logged,year,month,day
1,0.07,3.32,0.12,0.22,2.4,1.4,,3639.0,0.15,,2021,1.0,1.0
2,0.09,2.18,0.11,0.29,2.64,1.88,,4649.0,0.16,,2021,1.0,1.0
3,0.09,3.16,0.19,0.21,2.42,1.4,,2945.0,0.14,,2021,1.0,2.0
4,0.08,2.46,0.15,0.23,2.56,1.56,14.0,3770.0,0.18,,2021,1.0,2.0
5,0.17,1.82,0.15,0.22,2.28,1.84,,3833.0,0.28,,2021,1.0,3.0
6,0.09,2.96,0.18,0.26,2.28,1.44,15.0,3661.0,0.21,,2021,1.0,4.0
7,0.09,3.04,0.2,0.28,2.32,1.4,,3712.0,0.19,,2021,1.0,5.0
8,0.14,2.13,0.14,0.27,2.48,1.8,17.0,3641.0,0.12,,2021,1.0,6.0
9,0.15,1.87,0.17,0.25,2.52,1.82,20.0,1935.0,0.14,,2021,1.0,7.0
10,0.12,2.79,0.16,0.25,2.56,1.92,24.0,3820.0,0.16,,2021,1.0,8.0
11,0.12,2.75,0.16,0.27,2.68,2.0,,4783.0,0.15,,2021,1.0,9.0
12,0.16,1.93,0.09,0.26,3.25,1.9,11.0,3890.0,0.19,,2021,1.0,11.0
13,0.09,1.81,0.15,0.28,2.72,1.68,,3991.0,0.15,,2021,1.0,12.0
14,0.1,2.3,0.11,0.29,2.6,1.72,12.0,3899.0,0.22,,2021,1.0,13.0
15,0.18,1.63,0.1,0.24,2.42,1.64,,3821.0,0.24,,2021,1.0,14.0
16,0.08,2.16,0.13,0.26,2.24,1.6,18.0,3896.0,0.17,,2021,1.0,15.0
17,0.12,1.58,0.1,0.25,2.48,1.64,,3858.0,0.21,,2021,1.0,17.0
18,0.13,1.88,0.13,0.24,2.64,1.84,20.0,3839.0,0.2,,2021,1.0,18.0
19,0.1,2.15,0.15,0.29,2.86,1.67,,3844.0,0.27,,2021,1.0,19.0
20,0.08,6.83,0.14,0.25,2.32,1.52,20.0,3831.0,0.25,,2021,1.0,21.0
21,0.1,4.08,0.17,0.28,2.48,1.6,21.0,3826.0,0.28,,2021,1.0,22.0
22,0.14,3.68,0.1,0.27,2.18,1.5,,2084.0,0.23,,2021,1.0,23.0
23,0.08,3.14,0.1,0.23,2.36,1.68,,2089.0,0.23,,2021,1.0,24.0
24,0.12,2.58,0.15,0.21,2.4,1.48,27.0,2080.0,0.29,,2021,1.0,25.0
25,0.14,3.38,0.24,0.21,2.45,1.54,,3821.0,0.15,,2021,1.0,26.0
26,0.14,2.04,0.1,0.3,2.4,1.68,11.0,3701.0,0.29,,2021,1.0,27.0
27,0.14,3.56,0.11,0.23,2.29,1.44,16.0,3772.0,0.25,,2021,1.0,28.0
28,0.12,1.63,0.12,0.23,2.36,1.6,,3703.0,0.24,,2021,1.0,29.0
29,0.09,1.99,0.16,0.27,2.56,1.64,13.0,1861.0,0.28,,2021,2.0,1.0
30,0.12,4.94,0.2,0.28,2.48,1.72,,4076.0,0.18,,2021,2.0,1.0
31,0.18,2.65,0.16,0.3,2.4,1.6,,4010.0,0.29,,2021,2.0,2.0
32,0.15,3.5,0.16,0.28,2.56,1.52,,1861.0,0.28,,2021,2.0,2.0
33,0.13,5.33,0.14,0.29,2.48,1.6,9.0,2079.0,0.13,,2021,2.0,3.0
34,0.15,2.18,0.1,0.25,2.59,1.7,,4025.0,0.31,,2021,2.0,4.0
35,0.11,5.09,0.25,0.25,2.56,1.6,10.0,4088.0,0.25,,2021,2.0,5.0
36,0.1,6.85,0.17,0.25,2.72,1.76,,4131.0,0.19,,2021,2.0,7.0
37,0.16,6.98,0.15,0.25,2.65,1.64,20.0,4146.0,0.18,,2021,2.0,8.0
38,0.15,4.46,0.12,0.25,2.72,1.68,20.0,4075.0,0.31,,2021,2.0,9.0
39,0.17,3.08,0.18,0.26,2.52,1.68,,2221.0,0.17,,2021,2.0,11.0
40,0.19,4.54,0.22,0.25,2.72,1.76,,,,,2021,2.0,14.0
41,0.13,3.07,0.18,0.26,2.52,1.68,,4071.0,0.24,,2021,2.0,17.0
42,0.14,2.07,0.23,0.29,2.32,1.52,,4069.0,0.22,,2021,2.0,18.0
43,0.14,2.07,0.23,0.29,2.32,1.52,,4071.0,0.3,,2021,2.0,19.0
44,0.12,2.82,0.18,0.28,2.34,1.5,,4016.0,0.21,,2021,2.0,21.0
45,0.15,3.36,0.19,0.29,2.16,1.46,13.0,3992.0,0.24,,2021,2.0,22.0
46,0.12,2.14,0.21,0.28,2.33,1.59,22.0,4017.0,0.23,,2021,2.0,23.0
47,0.16,3.94,0.17,0.29,2.12,1.52,,5027.0,0.34,,2021,2.0,24.0
48,0.08,1.71,0.1,0.34,2.05,1.31,,,,,2021,2.0,25.0
49,0.08,1.4,0.26,0.29,2.12,1.28,,,,,2021,2.0,26.0
50,0.17,1.51,0.28,0.27,2.16,1.42,,4109.0,0.26,,2021,2.0,27.0
51,0.11,1.62,0.18,0.3,2.24,1.44,13.0,4089.0,0.23,,2021,3.0,1.0
52,0.13,3.6,0.17,0.19,2.56,1.68,,5282.0,0.68,,2021,3.0,1.0
53,0.15,4.95,0.41,0.26,2.34,1.44,,4051.0,0.31,,2021,3.0,2.0
54,0.1,2.36,0.18,0.14,2.16,1.36,,3686.0,0.26,,2021,3.0,2.0
55,0.12,4.85,0.31,0.13,1.92,1.28,,4951.0,0.19,,2021,3.0,3.0
56,0.13,4.48,0.24,0.21,2.16,1.6,65.0,2299.0,0.32,,2021,3.0,3.0
57,0.07,6.62,0.21,0.2,2.22,1.7,70.0,2333.0,0.41,,2021,3.0,4.0
58,0.14,6.46,0.16,0.21,2.24,1.68,,4018.0,0.2,,2021,3.0,5.0
59,0.13,6.82,0.17,0.22,2.72,1.76,,4036.0,0.29,,2021,3.0,6.0
60,0.18,4.81,0.2,0.17,2.16,1.64,22.0,2019.0,0.24,,2021,3.0,8.0
61,0.1,2.92,0.19,0.19,2.6,1.71,19.0,2302.0,0.28,,2021,3.0,9.0
62,0.19,2.74,0.21,0.08,2.24,1.68,25.0,4992.0,0.19,,2021,3.0,11.0
63,0.1,2.18,0.18,0.15,2.36,1.68,,4093.0,0.21,,2021,3.0,13.0
64,0.09,2.36,0.19,0.19,2.44,1.68,,4039.0,0.2,,2021,3.0,14.0
65,0.08,3.49,0.2,0.1,2.56,1.6,,3619.0,0.29,,2021,3.0,15.0
66,0.2,3.89,0.21,0.11,2.08,1.48,,5016.0,0.29,,2021,3.0,16.0
67,0.12,2.78,0.14,0.2,2.02,1.58,,5015.0,0.29,,2021,3.0,22.0
68,0.13,3.86,0.22,0.09,2.56,1.76,19.0,4792.0,0.18,,2021,3.0,23.0
69,0.09,3.25,0.24,0.19,2.24,1.52,19.0,2172.0,0.25,,2021,3.0,25.0
70,0.16,3.74,0.16,0.15,2.4,1.36,9.0,5160.0,0.27,,2021,3.0,26.0
71,0.13,3.8,0.18,0.15,2.28,1.56,,3608.0,0.27,,2021,3.0,27.0
72,0.14,6.12,0.2,0.22,2.3,1.58,,3756.0,0.25,,2021,3.0,28.0
73,0.11,5.02,0.2,0.12,2.02,1.32,,,,,2021,3.0,31.0
74,0.12,8.42,0.26,0.12,2.77,1.46,,3471.0,0.13,,2021,4.0,2.0
75,0.16,4.56,0.13,0.15,2.12,1.36,,3250.0,0.25,,2021,4.0,3.0
76,0.12,5.12,0.18,0.12,2.16,1.6,,2183.0,0.19,,2021,4.0,3.0
77,0.17,3.96,0.15,0.14,2.18,1.34,,1565.0,0.27,,2021,4.0,4.0
78,0.08,6.22,0.2,0.09,2.27,1.44,,1529.0,0.25,,2021,4.0,5.0
79,0.1,4.57,0.23,0.27,1.92,1.44,,3235.0,0.21,,2021,4.0,7.0
80,0.06,3.69,0.17,0.3,2.29,1.52,,1812.0,0.19,,2021,4.0,8.0
81,0.08,3.54,0.18,0.19,2.0,1.44,120.0,3547.0,0.19,,2021,4.0,9.0
82,0.08,3.07,0.23,0.24,1.98,1.43,,3461.0,0.2,,2021,4.0,11.0
83,0.06,8.35,0.14,0.15,2.34,1.66,,3715.0,0.23,,2021,4.0,13.0
84,0.12,3.23,0.3,0.13,1.92,1.48,16.0,3702.0,0.22,,2021,4.0,14.0
85,0.14,5.07,0.2,0.13,2.02,1.52,15.0,5312.0,0.33,,2021,4.0,15.0
86,0.15,3.19,0.28,0.17,2.18,1.68,,5236.0,0.32,,2021,4.0,16.0
87,0.09,3.21,0.3,0.17,2.2,1.48,,5455.0,0.38,,2021,4.0,17.0
88,0.08,1.27,0.3,0.19,2.24,1.44,,5126.0,0.2,,2021,4.0,18.0
89,0.1,5.08,0.21,0.16,1.84,1.38,35.0,3486.0,0.13,,2021,4.0,19.0
90,0.08,4.8,0.2,0.17,2.6,1.44,97.0,5141.0,0.19,,2021,4.0,21.0
91,0.08,3.72,0.22,0.14,2.4,1.92,,2156.0,0.18,,2021,4.0,22.0
92,0.12,3.86,0.19,0.1,2.08,1.52,48.0,2213.0,0.2,,2021,4.0,23.0
93,0.08,3.96,0.19,0.16,2.14,1.48,,2207.0,0.18,,2021,4.0,24.0
94,0.07,10.0,0.3,0.14,2.14,1.45,76.0,2241.0,0.21,,2021,4.0,25.0
95,0.09,3.45,0.37,0.12,2.12,1.52,60.0,2342.0,0.21,,2021,4.0,27.0
96,0.12,5.29,0.2,0.13,2.12,1.44,90.0,2198.0,0.18,,2021,4.0,28.0
97,0.08,4.9,0.16,0.11,2.24,1.48,,2235.0,0.21,,2021,4.0,29.0
98,0.1,7.77,0.23,0.16,2.24,1.52,126.0,2186.0,0.12,,2021,5.0,1.0
99,0.07,1.64,0.16,0.14,2.45,1.58,95.0,4853.0,0.26,,2021,5.0,2.0
100,0.11,8.2,0.25,0.13,2.32,1.96,,4223.0,0.18,,2021,5.0,3.0
101,0.08,6.32,0.22,0.17,2.24,1.76,8.0,4935.0,0.48,,2021,5.0,6.0
102,0.09,9.55,0.15,0.14,2.4,1.44,65.0,4988.0,0.21,,2021,5.0,7.0
103,0.2,9.98,0.18,0.13,2.24,1.44,52.0,4976.0,0.28,,2021,5.0,8.0
104,0.13,9.78,0.14,0.16,2.3,1.4,,2181.0,0.19,,2021,5.0,9.0
105,0.1,6.63,0.16,0.13,2.56,1.6,,4132.0,0.22,,2021,5.0,11.0
106,0.18,9.45,0.18,0.12,2.08,1.32,56.0,4965.0,0.27,,2021,5.0,12.0
